x,y
16.666666666666668,16.666666666666668
16.666666666666668,33.333333333333336
16.666666666666668,50.0
16.666666666666668,66.66666666666667
16.666666666666668,83.33333333333334
33.333333333333336,16.666666666666668
33.333333333333336,33.333333333333336
33.333333333333336,50.0
33.333333333333336,66.66666666666667
33.333333333333336,83.33333333333334
50.0,16.666666666666668
50.0,33.333333333333336
50.0,50.0
50.0,66.66666666666667
50.0,83.33333333333334
66.66666666666667,16.666666666666668
66.66666666666667,33.333333333333336
66.66666666666667,50.0
66.66666666666667,66.66666666666667
66.66666666666667,83.33333333333334
83.33333333333334,16.666666666666668
83.33333333333334,33.333333333333336
83.33333333333334,50.0
83.33333333333334,66.66666666666667
83.33333333333334,83.33333333333334
